expID,subID,threshold,label#,onset,offset,learned,pretrained,roi_at_label_onset,roi_at_label_onset_long,prior,prior_long,switch,switch_long,next,next_long,stateID,stateID_long,GazeDistributionBucket,GazeDistributionBucket_long,targetGazeCount,targetGazeCount_long,targetGazeCountOffWindows,targetGazeCountOffWindows_long,uniqueObjectsVisitedCount,uniqueObjectsVisitedCount_long,skewed,skewed_long,correctness,correctness_long,preLabelWindowCount,preLabelWindowCount_long,trial,labelingInstance,SubjObjectGazeProp
185,18511,0.7,15,167.05,169.3,1,1,10,10,0,0,1,1,1,1,5,5,6,6,1,1,3,3,2,2,1,1,2,2,0,0,15,3,0.905780683583635
185,18511,0.7,11,169.3,171.55,1,3,15,15,0,0,1,1,0,0,6,6,5,5,1,1,2,2,3,3,1,1,1,1,1,1,15,2,0.905780683583635
185,18511,0.7,6,174,176.25,0,3,12,12,0,0,0,0,0,0,8,8,6,6,1,1,2,2,2,2,1,1,2,2,2,2,16,5,0.905780683583635
185,18511,0.7,9,176.25,178.5,1,2,6,6,0,0,1,1,0,0,6,6,6,6,1,1,1,1,3,3,1,1,2,2,1,1,16,4,0.905780683583635
185,18511,0.7,12,178.5,180.75,0,0,0,12,0,1,1,0,1,1,5,3,3,3,1,1,3,3,4,4,0,0,2,2,3,3,16,4,0.905780683583635
185,18511,0.7,15,180.75,183,1,1,15,15,1,1,1,1,0,0,2,2,6,6,2,2,4,4,2,2,1,1,2,2,0,0,16,4,0.905780683583635
185,18511,0.7,4,185.45,187.7,1,0,0,0,0,0,1,1,1,1,5,5,1,1,1,1,5,5,4,4,0,0,0,0,1,1,17,4,0.905780683583635
185,18511,0.7,16,187.7,189.95,0,0,1,1,0,0,1,1,0,0,6,6,3,3,3,3,2,2,4,4,0,0,2,2,0,0,17,5,0.905780683583635
185,18511,0.7,15,189.95,192.2,1,1,16,16,0,0,1,1,0,0,6,6,6,6,1,1,3,3,3,3,1,1,2,2,1,1,17,5,0.905780683583635
185,18511,0.7,1,192.2,194.45,0,0,15,15,0,0,1,1,0,0,6,6,3,3,1,1,2,2,3,3,0,0,2,2,1,1,17,4,0.905780683583635
185,18511,0.7,9,196.9,199.15,1,2,2,2,0,0,1,1,0,0,6,6,4,4,0,0,1,1,3,3,1,1,0,0,1,1,18,5,0.905780683583635
185,18511,0.7,14,199.15,201.4,0,0,17,17,0,0,1,1,0,0,6,6,4,4,0,0,3,3,3,3,1,1,0,0,2,2,18,5,0.905780683583635
185,18511,0.7,2,201.4,203.65,1,1,2,2,1,1,1,1,0,0,2,2,6,6,2,2,4,4,2,2,1,1,2,2,1,1,18,4,0.905780683583635
185,18511,0.7,17,203.65,205.9,0,0,2,2,0,0,1,1,0,0,6,6,1,1,0,0,3,2,2,2,0,0,0,0,1,1,18,4,0.905780683583635
185,18511,0.7,2,208.35,210.6,1,1,13,13,0,0,1,1,0,0,6,6,6,6,2,1,1,1,3,3,1,1,2,2,1,1,19,5,0.905780683583635
185,18511,0.7,5,210.6,212.85,0,0,2,2,0,0,1,1,0,0,6,6,4,4,1,1,2,2,4,4,1,1,0,0,0,0,19,5,0.905780683583635
185,18511,0.7,11,212.85,215.1,1,3,11,11,1,1,1,1,0,0,2,2,4,4,1,1,2,2,3,3,1,1,0,0,1,1,19,3,0.905780683583635
185,18511,0.7,13,215.1,217.35,1,1,13,13,1,1,0,0,1,1,3,3,6,6,2,1,4,4,1,1,1,1,2,2,1,1,19,4,0.905780683583635
185,18511,0.7,1,219.8,222.05,0,0,11,11,0,0,1,1,0,0,6,6,1,1,1,1,2,2,4,4,0,0,0,0,0,0,20,5,0.905780683583635
185,18511,0.7,11,222.05,224.3,1,3,18,18,0,0,1,0,0,0,6,8,2,2,1,1,7,6,3,3,0,0,1,1,3,2,20,4,0.905780683583635
185,18511,0.7,15,224.3,226.55,1,1,0,0,0,0,0,0,0,0,8,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,20,6,0.905780683583635
185,18511,0.7,18,226.55,228.8,0,2,11,11,0,0,1,0,0,0,6,8,4,4,0,0,4,3,3,3,1,1,0,0,1,1,20,5,0.905780683583635
185,18511,0.7,17,231.25,233.5,0,0,5,5,0,0,0,0,0,0,8,8,4,4,1,1,5,5,4,4,1,1,0,0,0,0,21,5,0.905780683583635
185,18511,0.7,12,233.5,235.75,0,0,0,0,0,0,0,0,0,0,8,8,1,1,0,0,3,3,2,2,0,0,0,0,1,1,21,5,0.905780683583635
185,18511,0.7,5,235.75,238,0,0,17,17,0,0,1,1,0,0,6,6,1,1,0,0,3,3,3,3,0,0,0,0,2,2,21,6,0.905780683583635
185,18511,0.7,3,238,240.25,1,3,17,17,0,0,1,1,1,1,5,5,6,6,2,2,2,2,3,3,1,1,2,2,1,1,21,5,0.905780683583635
185,18511,0.7,1,242.7,244.95,0,0,13,13,0,0,0,0,0,0,8,8,2,2,2,2,1,1,4,4,0,0,1,1,1,1,22,6,0.905780683583635
185,18511,0.7,7,244.95,247.2,1,2,1,1,0,0,1,1,0,0,6,6,3,2,1,1,2,2,4,4,0,0,2,1,0,0,22,4,0.905780683583635
185,18511,0.7,8,247.2,249.45,0,0,7,7,0,0,1,1,1,1,5,5,6,6,2,2,4,4,3,3,1,1,2,2,0,0,22,4,0.905780683583635
185,18511,0.7,13,249.45,251.7,1,1,13,13,1,1,1,1,0,0,2,2,6,6,3,3,5,4,2,2,1,1,2,2,1,1,22,5,0.905780683583635
185,18511,0.7,4,254.15,256.4,1,0,11,11,0,0,1,1,0,0,6,6,2,2,1,1,1,1,3,3,0,0,1,1,1,1,23,5,0.905780683583635
185,18511,0.7,14,256.4,258.65,0,0,4,4,0,0,1,1,1,1,5,5,6,6,1,1,2,2,2,2,1,1,2,2,2,2,23,6,0.905780683583635
185,18511,0.7,11,258.65,260.9,1,3,14,14,0,0,1,1,1,1,5,5,6,6,1,1,2,2,3,3,1,1,2,2,1,1,23,5,0.905780683583635
185,18511,0.7,7,260.9,263.15,1,2,7,7,1,1,0,0,1,1,3,3,6,6,1,1,1,1,1,1,1,1,2,2,0,0,23,5,0.905780683583635
185,18511,0.7,16,265.6,267.85,0,0,8,8,0,0,1,1,0,0,6,6,6,6,1,1,1,1,3,3,1,1,2,2,0,0,24,6,0.905780683583635
185,18511,0.7,6,267.85,270.1,0,3,16,16,0,0,1,1,0,0,6,6,4,4,0,0,5,5,2,2,1,1,0,0,2,2,24,6,0.905780683583635
185,18511,0.7,10,270.1,272.35,1,0,8,8,0,0,1,1,0,0,6,6,3,3,2,2,0,0,3,3,0,0,2,2,1,1,24,5,0.905780683583635
185,18511,0.7,8,272.35,274.6,0,0,6,6,0,0,0,0,0,0,8,8,5,5,1,1,3,3,2,2,1,1,1,1,1,1,24,5,0.905780683583635
185,18511,0.7,2,277.05,279.3,1,1,2,2,1,1,1,1,0,0,2,2,3,3,3,3,3,3,4,4,0,0,2,2,1,1,25,6,0.905780683583635
185,18511,0.7,4,279.3,281.55,1,0,2,2,0,0,1,1,1,1,5,5,6,6,1,1,3,3,2,2,1,1,2,2,1,1,25,6,0.905780683583635
185,18511,0.7,9,281.55,283.8,1,2,4,4,0,0,1,1,0,0,6,6,3,3,2,2,4,3,3,3,0,0,2,2,1,1,25,6,0.905780683583635
185,18511,0.7,12,283.8,286.05,0,0,9,9,0,0,0,0,0,0,8,8,4,4,1,1,3,3,3,3,1,1,0,0,1,1,25,6,0.905780683583635
185,18511,0.7,13,288.5,290.75,1,1,3,3,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,1,1,26,6,0.905780683583635
185,18511,0.7,3,290.75,293,1,3,13,13,0,0,1,1,1,1,5,5,6,6,1,1,2,2,2,2,1,1,2,2,1,1,26,6,0.905780683583635
185,18511,0.7,18,293,295.25,0,2,3,3,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,1,1,26,6,0.905780683583635
185,18511,0.7,10,295.25,297.5,1,0,18,18,0,0,1,1,1,1,5,5,6,6,1,1,0,0,2,2,1,1,2,2,2,2,26,6,0.905780683583635
185,18511,0.7,11,299.95,302.2,1,3,0,0,0,0,1,1,0,0,6,6,1,1,1,1,3,3,4,4,0,0,0,0,1,1,27,6,0.905780683583635
185,18511,0.7,17,302.2,304.45,0,0,8,8,0,0,1,1,0,0,6,6,4,4,0,0,3,3,3,3,1,1,0,0,2,2,27,6,0.905780683583635
185,18511,0.7,7,304.45,306.7,1,2,7,7,1,1,1,1,0,0,2,2,5,5,1,1,2,2,2,2,1,1,1,1,0,0,27,6,0.905780683583635
185,18511,0.7,8,306.7,308.95,0,0,11,11,0,0,1,1,0,0,6,6,2,2,1,1,3,3,3,3,0,0,1,1,1,1,27,6,0.905780683583635
185,18512,0.7,10,2.25,4.5,0,0,5,5,0,0,1,1,0,1,6,5,4,4,1,1,1,1,2,2,1,1,0,0,1,1,1,1,0.897041688244433
185,18512,0.7,5,4.5,6.75,0,0,5,5,1,1,1,1,0,0,2,2,2,2,2,2,5,4,3,3,0,0,1,1,1,1,1,1,0.897041688244433
